filename, language, JavaScript, comment, blank, total
Actions\Account.js, JavaScript, 56, 0, 5, 61
Actions\Admin.js, JavaScript, 83, 0, 4, 87
Actions\Auth.js, JavaScript, 70, 7, 6, 83
Actions\Ingredient.js, JavaScript, 54, 0, 4, 58
Actions\Meal.js, JavaScript, 155, 8, 10, 173
Actions\index.js, JavaScript, 7, 1, 2, 10
Authentification\Authentification.js, JavaScript, 102, 19, 14, 135
Authentification\Verification.test.js, JavaScript, 12, 39, 3, 54
Authentification\Verifications.js, JavaScript, 104, 12, 9, 125
Authentification\mysql_query_users.js, JavaScript, 105, 14, 16, 135
Db\Account.js, JavaScript, 43, 0, 4, 47
Db\Admin.js, JavaScript, 57, 0, 9, 66
Db\Auth.js, JavaScript, 115, 8, 15, 138
Db\Db.js, JavaScript, 42, 0, 8, 50
Db\Ingredient.js, JavaScript, 61, 0, 11, 72
Db\Meal.js, JavaScript, 142, 2, 26, 170
Db\index.js, JavaScript, 7, 0, 1, 8
FileManager\UploadManager.js, JavaScript, 33, 0, 5, 38
FileManager\index.js, JavaScript, 3, 0, 1, 4
RCGTitle.js, JavaScript, 22, 0, 1, 23
Routes\Account.js, JavaScript, 34, 0, 4, 38
Routes\Admin.js, JavaScript, 27, 0, 4, 31
Routes\Auth.js, JavaScript, 81, 4, 7, 92
Routes\Ingredients.js, JavaScript, 27, 0, 6, 33
Routes\Meals.js, JavaScript, 65, 0, 7, 72
Routes\index.js, JavaScript, 51, 0, 10, 61
UserVerifications\UserStateVerification.js, JavaScript, 12, 0, 1, 13
mysql_query.js, JavaScript, 263, 3, 47, 313
mysql_query.test.js, JavaScript, 0, 0, 1, 1
mysql_query_foodslist.js, JavaScript, 60, 0, 10, 70
~VoteSave.js, JavaScript, 0, 39, 2, 41
Total, -, 1893, 156, 253, 2302